latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40.73898,-73.98233,2.0,18.0,0.81,1.0,0.0
40.6612,-73.98568,70.0,3.0,0.08,1.0,0.0
40.72493,-74.00307,3.0,73.0,0.94,1.0,44.0
40.70618,-73.91689,30.0,1.0,0.09,1.0,6.0
40.7045,-73.94357,6.0,5.0,2.17,1.0,40.0
40.69617,-73.97456,1.0,24.0,3.09,2.0,72.0
40.7385,-74.00378,1.0,0.0,0.02,1.0,0.0
40.68753,-73.93656,5.0,82.0,1.41,1.0,0.0
40.77975,-73.94977,1.0,160.0,1.9,1.0,319.0
40.70088,-73.91836,3.0,22.0,0.98,2.0,0.0
40.81033,-73.94286,3.0,30.0,2.59,1.0,159.0
40.65862,-73.95808,2.0,0.0,0.12,1.0,0.0
40.71624,-73.99995,2.0,35.0,4.32,1.0,6.0
40.80244,-73.96592,1.0,1.0,0.48,2.0,363.0
40.6585,-73.98397,2.0,21.0,0.26,1.0,272.0
40.84103,-73.94063,30.0,3.0,0.26,34.0,311.0
40.65329,-73.92756,7.0,1.0,0.11,1.0,179.0
40.76142,-73.99431,3.0,1.0,1.0,1.0,5.0
40.64644,-73.9756,1.0,10.0,0.21,1.0,0.0
40.6999,-73.92417,14.0,0.0,0.716,1.0,31.0
40.69971,-73.93729,2.0,46.0,1.92,1.0,19.0
40.82692,-73.92183,5.0,46.0,1.55,1.0,174.0
40.62398,-74.02786,1.0,0.0,0.826,2.0,179.0
40.81165,-73.95639,9.0,7.0,0.15,1.0,0.0
40.75224,-73.99487,3.0,164.0,2.34,1.0,27.0
40.7952,-73.9624,1.0,280.0,3.51,1.0,246.0
40.84411,-73.93764,2.0,3.0,0.07,1.0,0.0
40.75462,-73.88284,2.0,13.0,0.3,1.0,288.0
40.76269,-73.99364,30.0,4.0,0.23,20.0,272.0
40.80407,-73.95762,1.0,1.0,0.02,1.0,0.0
40.7754,-73.95236,2.0,8.0,0.26,1.0,0.0
40.70617,-73.93761,1.0,34.0,0.48,3.0,75.0
40.68592,-73.92695,31.0,1.0,0.51,2.0,155.0
40.73243,-74.00333,3.0,1.0,1.0,1.0,52.0
40.77371,-73.91689,3.0,10.0,0.79,1.0,88.0
40.71571,-73.98699,35.0,0.0,0.062,1.0,0.0
40.81515,-73.9421,1.0,0.0,0.036000000000000004,1.0,0.0
40.68764,-73.91445,1.0,57.0,4.76,1.0,48.0
40.7494,-73.9784,30.0,6.0,1.94,1.0,135.0
40.64138,-73.91488,1.0,11.0,0.48,4.0,347.0
40.82042,-73.95256,2.0,5.0,0.14,2.0,0.0
40.72206,-73.99497,5.0,1.0,0.05,1.0,0.0
40.76115,-73.99823,30.0,0.0,0.256,18.0,146.0
40.68885,-73.95296,2.0,5.0,0.25,1.0,0.0
40.62914,-73.9575,2.0,2.0,0.11,1.0,0.0
40.71639,-73.85799,2.0,12.0,1.45,2.0,19.0
40.76471,-73.95819,1.0,2.0,0.06,2.0,0.0
40.79072,-73.97252,3.0,0.0,0.05600000000000001,1.0,0.0
40.63609,-73.96687,2.0,1.0,0.04,1.0,0.0
40.70043,-73.92266,30.0,0.0,0.17200000000000001,1.0,0.0
40.71174,-73.94353,1.0,0.0,0.046,1.0,0.0
40.77747,-73.95193,31.0,4.0,0.21,33.0,299.0
40.81942,-73.95796,2.0,5.0,2.88,1.0,0.0
40.70605,-73.90374,1.0,14.0,1.7,1.0,272.0
40.72439,-73.97767,7.0,1.0,0.03,1.0,0.0
40.66524,-73.73283,1.0,89.0,4.01,3.0,356.0
40.78668,-73.94247,2.0,2.0,0.08,1.0,0.0
40.62918,-73.96348,3.0,9.0,0.16,1.0,0.0
40.63462,-73.95572,2.0,13.0,1.53,1.0,160.0
40.715,-73.95018,10.0,3.0,0.06,1.0,0.0
40.77002,-73.92332,1.0,27.0,2.02,9.0,363.0
40.69542,-73.93258,2.0,5.0,0.11,3.0,4.0
40.82916,-73.9498,2.0,4.0,0.94,1.0,0.0
40.69016,-73.99311,2.0,13.0,0.52,1.0,0.0
40.75825,-73.98982,1.0,54.0,4.34,1.0,341.0
40.76015,-73.98497,1.0,2.0,0.41,1.0,301.0
40.82231,-73.91696,7.0,0.0,0.9019999999999999,1.0,254.0
40.76812,-73.95403,1.0,62.0,2.58,2.0,258.0
40.80622,-73.93875,2.0,0.0,0.55,1.0,3.0
40.68036,-73.99247,3.0,4.0,0.53,1.0,5.0
40.67863,-73.95859,1.0,2.0,0.17,1.0,0.0
40.75375,-73.90037,2.0,21.0,1.94,5.0,125.0
40.7626,-73.96031,3.0,57.0,1.51,1.0,93.0
40.80046,-73.96598,1.0,5.0,0.22,1.0,0.0
40.71791,-73.94242,3.0,0.0,0.202,1.0,0.0
40.72801,-73.98336,3.0,0.0,0.024,1.0,0.0
40.6971,-73.97316,2.0,1.0,0.07,1.0,0.0
40.70719,-73.89632,14.0,11.0,0.15,1.0,332.0
40.80154,-73.96106,3.0,5.0,3.85,1.0,320.0
40.71612,-74.01054,2.0,1.0,0.09,1.0,363.0
40.72547,-74.0021,1.0,94.0,5.18,1.0,187.0
40.72173,-73.94768,30.0,4.0,0.12,4.0,301.0
40.7068,-74.01775,1.0,1.0,1.0,7.0,339.0
40.67817,-74.00991,2.0,41.0,2.94,1.0,3.0
40.71688,-73.94584,2.0,88.0,1.31,1.0,223.0
40.74164,-73.98275,2.0,41.0,1.18,1.0,242.0
40.67793,-73.99531,1.0,78.0,2.22,5.0,365.0
40.72485,-73.94582,5.0,0.0,0.05600000000000001,1.0,0.0
40.65682,-73.95875,3.0,0.0,0.07,2.0,0.0
40.71901,-73.96303,2.0,1.0,0.16,1.0,0.0
40.73413,-73.95835,14.0,0.0,0.162,1.0,0.0
40.769,-73.9541,2.0,5.0,0.11,1.0,0.0
40.81818,-73.93905,1.0,12.0,0.33,1.0,0.0
40.71028,-73.96128,2.0,5.0,0.06,2.0,365.0
40.76545,-73.98156,30.0,1.0,0.23,121.0,351.0
40.77594,-73.90799,2.0,0.0,0.34400000000000003,1.0,35.0
40.7785,-73.91693,1.0,5.0,0.15,2.0,0.0
40.83735,-73.94351,3.0,89.0,2.53,1.0,66.0
40.74032,-74.00265,4.0,6.0,0.16,1.0,0.0
40.71846,-73.9616,1.0,0.0,0.9339999999999999,4.0,177.0
40.72646,-73.95341,3.0,29.0,0.36,1.0,15.0
40.7441,-73.92153,2.0,31.0,3.31,1.0,169.0
40.71122,-73.95922,3.0,2.0,0.06,1.0,0.0
40.83668,-73.94476,13.0,2.0,0.17,1.0,0.0
40.68785,-73.99181,3.0,13.0,0.22,1.0,0.0
40.7121,-73.96156,1.0,1.0,0.03,3.0,0.0
40.74457,-73.9194,21.0,0.0,0.08600000000000001,1.0,0.0
40.89753,-73.87359,1.0,6.0,0.71,1.0,0.0
40.71435,-73.95073,3.0,4.0,0.05,1.0,0.0
40.76181,-73.98757,2.0,53.0,1.06,1.0,0.0
40.69527,-73.9365,3.0,44.0,1.4,1.0,64.0
